"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"ADC1_CONN1,ADC2_CONN1,J2,USART1_CONN1","4","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"BAT_CONN1,DAC1_CONN1,OPAMP3_OUT_CONN1","3","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"C1","1","2.2uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C2,C9","2","1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C3,C4,C5,C7,C8","5","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"J1","1","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"R1,R2","2","5k1","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R3","1","20K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R4,R5,R6,R7","4","50k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"STM1","1","STM32G431CBTx","","","","Package_QFP:LQFP-48_7x7mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32g431cb.pdf"
"SW1,SW2","2","SW_Push","","","","Button_Switch_SMD:SW_SPST_Omron_B3FS-105xP",""
"SWD_PRG1,U3","2","Conn_01x06_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"U1,U2","2","HX TF-CARD H1.8","","","","1_hanxia_sd_slot:TF-SMD_HX-TF-CARD-H1.8-SY","https://www.lcsc.com/datasheet/C19189036.pdf"
"U4","1","TLV1117LV33DCYR","","","","3_LDO_TI:SOT-223_L6.7-W3.5-P2.30-BR","https://lcsc.com/product-detail/Low-Dropout-Regulators-LDO_TI_TLV1117LV33DCYR_TLV1117LV33DCYR_C15578.html"
"UART_PRG1","1","Conn_01x05_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"USB1","1","TYPE-C 16P","","","","2_usb_C_connect:USB-C-SMD_TYPE-C16PIN_C668624","https://lcsc.com/product-detail/USB-Connectors_SHOU-HAN-TYPE-C-16P-073_C668624.html"
